# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci_Fogadalom
# date: 2022.03.19
# team: NemLaci
# declination: 5.37
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
24@Laci_Fogadalom,-,9.52,188.3,33.7,,,""
24@Laci_Fogadalom,-,6.06,192.3,35.9,,,""
24@Laci_Fogadalom,-,5.76,204.9,37.5,,,""
24@Laci_Fogadalom,-,7.91,213.0,37.4,,,""
24@Laci_Fogadalom,-,1.26,126.3,-72.8,,,""
24@Laci_Fogadalom,-,1.54,116.4,-53.5,,,""
24@Laci_Fogadalom,-,1.56,114.8,-39.6,,,""
24@Laci_Fogadalom,-,1.86,111.9,1.2,,,""
24@Laci_Fogadalom,-,2.14,106.9,28.9,,,""
24@Laci_Fogadalom,-,4.96,105.4,48.5,,,""
24@Laci_Fogadalom,-,6.10,97.1,76.8,,,""
24@Laci_Fogadalom,-,5.74,97.0,83.3,,,""
24@Laci_Fogadalom,-,10.11,61.5,85.3,,,""
24@Laci_Fogadalom,-,8.94,13.8,88.0,,,""
24@Laci_Fogadalom,-,8.92,307.7,86.3,,,""
24@Laci_Fogadalom,-,6.34,298.4,83.6,,,""
24@Laci_Fogadalom,-,5.25,287.8,78.5,,,""
24@Laci_Fogadalom,-,4.36,285.5,74.8,,,""
24@Laci_Fogadalom,-,1.90,278.8,71.5,,,""
24@Laci_Fogadalom,-,0.61,275.6,67.4,,,""
24@Laci_Fogadalom,25@Laci_Fogadalom,4.50,219.0,42.1,-1,,"Sárkányfej alatt"
25@Laci_Fogadalom,-,0.63,293.9,-37.8,,,""
25@Laci_Fogadalom,-,1.43,289.9,-68.8,,,""
25@Laci_Fogadalom,-,1.49,166.8,-78.0,,,""
25@Laci_Fogadalom,-,2.17,154.0,-43.2,,,""
25@Laci_Fogadalom,-,2.99,160.1,-6.9,,,""
25@Laci_Fogadalom,-,1.61,165.7,13.6,,,""
25@Laci_Fogadalom,-,1.91,167.2,42.8,,,""
25@Laci_Fogadalom,-,9.35,161.1,54.0,,,""
25@Laci_Fogadalom,-,8.47,148.5,64.7,,,""
25@Laci_Fogadalom,-,7.48,139.7,71.0,,,""
25@Laci_Fogadalom,-,4.58,134.1,72.1,,,""
25@Laci_Fogadalom,-,3.26,101.5,71.5,,,""
25@Laci_Fogadalom,-,2.76,80.0,61.9,,,""
25@Laci_Fogadalom,-,3.14,68.1,68.2,,,""
25@Laci_Fogadalom,-,3.67,57.5,70.9,,,""
25@Laci_Fogadalom,-,2.85,28.1,68.1,,,""
25@Laci_Fogadalom,-,2.44,21.8,61.8,,,""
25@Laci_Fogadalom,-,2.49,11.1,58.1,,,""
25@Laci_Fogadalom,-,2.51,19.1,-28.6,,,""
25@Laci_Fogadalom,-,3.52,28.9,-22.9,,,""
25@Laci_Fogadalom,-,16.10,35.8,-21.2,,,""
25@Laci_Fogadalom,-,12.07,43.1,-21.3,,,""
25@Laci_Fogadalom,-,5.32,53.4,-18.5,,,""
25@Laci_Fogadalom,-,4.68,85.5,-9.2,,,""
25@Laci_Fogadalom,-,3.86,105.4,-1.5,,,""
25@Laci_Fogadalom,-,3.80,116.1,1.5,,,""
25@Laci_Fogadalom,-,3.50,125.6,4.1,,,""
25@Laci_Fogadalom,-,4.64,136.4,9.2,,,""
25@Laci_Fogadalom,-,3.54,191.7,3.7,,,""
25@Laci_Fogadalom,-,4.52,194.8,8.4,,,""
25@Laci_Fogadalom,-,4.85,203.4,11.0,,,""
25@Laci_Fogadalom,-,5.39,211.8,13.3,,,""
25@Laci_Fogadalom,-,7.53,218.9,18.5,,,""
25@Laci_Fogadalom,-,8.78,225.5,17.8,,,""
25@Laci_Fogadalom,-,9.73,229.3,17.5,,,""
25@Laci_Fogadalom,-,17.44,231.1,18.6,,,""
25@Laci_Fogadalom,-,18.39,233.3,19.4,,,""
25@Laci_Fogadalom,-,12.27,234.4,19.4,,,""
25@Laci_Fogadalom,-,1.23,240.4,18.5,,,""
25@Laci_Fogadalom,-,3.16,244.8,8.7,,,""
25@Laci_Fogadalom,-,7.24,241.6,13.9,,,""
25@Laci_Fogadalom,-,9.86,237.9,17.1,,,""
25@Laci_Fogadalom,-,11.53,237.2,19.4,,,""
25@Laci_Fogadalom,-,4.00,229.0,34.4,,,""
25@Laci_Fogadalom,-,8.42,229.6,43.7,,,""
25@Laci_Fogadalom,-,7.24,227.7,35.8,,,""
25@Laci_Fogadalom,-,13.05,235.2,48.3,,,""
25@Laci_Fogadalom,26@Laci_Fogadalom,7.29,130.8,53.7,-1,,"Sárkány kürtője"
26@Laci_Fogadalom,-,0.32,217.9,1.0,,,""
26@Laci_Fogadalom,-,3.06,225.6,5.6,,,""
26@Laci_Fogadalom,-,4.92,234.6,9.0,,,""
26@Laci_Fogadalom,-,4.26,242.9,11.2,,,""
26@Laci_Fogadalom,-,2.36,249.7,11.8,,,""
26@Laci_Fogadalom,-,2.59,273.8,7.1,,,""
26@Laci_Fogadalom,-,2.93,292.4,8.8,,,""
26@Laci_Fogadalom,-,3.09,297.6,10.1,,,""
26@Laci_Fogadalom,-,4.30,298.7,9.9,,,""
26@Laci_Fogadalom,-,3.40,304.0,9.9,,,""
26@Laci_Fogadalom,-,2.44,316.0,11.0,,,""
26@Laci_Fogadalom,-,1.96,335.7,9.6,,,""
26@Laci_Fogadalom,-,2.38,351.1,7.3,,,""
26@Laci_Fogadalom,-,1.80,338.0,0.2,,,""
26@Laci_Fogadalom,-,0.37,95.2,15.9,,,""
26@Laci_Fogadalom,-,1.70,76.2,9.5,,,""
26@Laci_Fogadalom,-,1.88,54.5,8.1,,,""
26@Laci_Fogadalom,-,2.38,42.0,6.9,,,""
26@Laci_Fogadalom,-,2.86,23.9,6.1,,,""
26@Laci_Fogadalom,-,8.07,355.7,-7.2,,,""
26@Laci_Fogadalom,-,4.81,0.1,-8.1,,,""
26@Laci_Fogadalom,-,2.96,12.8,-16.2,,,""
26@Laci_Fogadalom,-,2.58,28.9,-12.1,,,""
26@Laci_Fogadalom,-,2.42,37.4,-9.2,,,""
26@Laci_Fogadalom,-,1.85,44.8,-10.5,,,""
26@Laci_Fogadalom,27@Laci_Fogadalom,2.16,38.5,25.5,1,,""
27@Laci_Fogadalom,-,1.76,169.9,9.4,,,""
27@Laci_Fogadalom,-,1.92,212.0,11.5,,,""
27@Laci_Fogadalom,-,3.72,224.8,11.3,,,""
27@Laci_Fogadalom,-,3.92,233.5,7.0,,,""
27@Laci_Fogadalom,-,3.66,254.6,1.3,,,""
27@Laci_Fogadalom,-,5.75,272.2,-3.0,,,""
27@Laci_Fogadalom,-,2.68,274.6,-2.2,,,""
27@Laci_Fogadalom,-,1.83,288.5,-2.3,,,""
27@Laci_Fogadalom,-,1.45,306.4,-0.8,,,""
27@Laci_Fogadalom,-,1.44,317.1,-8.5,,,""
27@Laci_Fogadalom,-,3.88,327.5,-13.0,,,""
