# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci-zsomboly
# date: 2022.01.29
# team: 
# declination: undefined
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
17@Laci-zsomboly,-,1.18,251.0,83.2,,,""
17@Laci-zsomboly,-,5.41,244.9,-68.4,,,""
17@Laci-zsomboly,-,3.92,285.7,-57.7,,,""
17@Laci-zsomboly,18@Laci-zsomboly,4.95,244.5,-68.4,1,,"beszorult nagy kövek földön"
18@Laci-zsomboly,-,2.59,271.2,33.9,,,""
18@Laci-zsomboly,-,2.58,258.1,24.9,,,""
18@Laci-zsomboly,-,9.23,244.6,23.8,,,""
18@Laci-zsomboly,-,10.38,230.5,22.9,,,""
18@Laci-zsomboly,-,13.05,214.0,20.0,,,""
18@Laci-zsomboly,-,10.59,203.8,25.5,,,""
18@Laci-zsomboly,-,8.85,188.1,31.4,,,""
18@Laci-zsomboly,-,8.93,178.4,34.6,,,""
18@Laci-zsomboly,-,5.00,174.1,29.1,,,""
18@Laci-zsomboly,-,3.12,153.1,27.4,,,""
18@Laci-zsomboly,-,3.05,141.9,27.2,,,""
18@Laci-zsomboly,-,1.84,123.4,26.8,,,""
18@Laci-zsomboly,-,2.13,151.3,-44.3,,,""
18@Laci-zsomboly,-,4.35,162.6,-48.3,,,""
18@Laci-zsomboly,-,4.34,177.1,-46.5,,,""
18@Laci-zsomboly,-,4.34,295.6,49.5,,,""
18@Laci-zsomboly,-,6.88,307.7,52.0,,,""
18@Laci-zsomboly,-,9.44,322.6,55.2,,,""
18@Laci-zsomboly,-,8.88,346.4,57.5,,,""
18@Laci-zsomboly,-,7.62,19.5,57.8,,,""
18@Laci-zsomboly,-,6.23,47.7,60.6,,,""
18@Laci-zsomboly,-,1.96,75.8,65.4,,,""
18@Laci-zsomboly,-,1.73,112.7,56.2,,,""
18@Laci-zsomboly,-,2.72,140.3,54.8,,,""
18@Laci-zsomboly,-,3.74,163.9,47.0,,,""
18@Laci-zsomboly,19@Laci-zsomboly,3.84,177.0,-52.4,1,,"hídnál lévő Y mellett "
19@Laci-zsomboly,-,0.68,179.4,9.5,,,""
19@Laci-zsomboly,-,0.66,149.7,3.0,,,""
19@Laci-zsomboly,-,0.93,103.9,0.4,,,""
19@Laci-zsomboly,-,1.10,80.0,-0.9,,,""
19@Laci-zsomboly,-,2.08,341.5,33.3,,,""
19@Laci-zsomboly,-,2.38,325.5,34.1,,,""
19@Laci-zsomboly,-,2.23,3.6,19.9,,,""
19@Laci-zsomboly,-,3.57,6.8,19.2,,,""
19@Laci-zsomboly,-,4.50,10.4,19.1,,,""
19@Laci-zsomboly,-,0.76,17.4,16.4,,,""
19@Laci-zsomboly,-,2.62,25.0,15.4,,,""
19@Laci-zsomboly,-,2.00,34.5,15.7,,,""
19@Laci-zsomboly,-,2.06,44.6,16.3,,,""
19@Laci-zsomboly,-,4.99,241.1,-55.4,,,""
19@Laci-zsomboly,-,6.01,222.9,-50.2,,,""
19@Laci-zsomboly,-,7.99,203.7,-52.2,,,""
19@Laci-zsomboly,-,8.32,185.6,-54.2,,,""
19@Laci-zsomboly,-,8.24,166.3,-57.8,,,""
19@Laci-zsomboly,-,5.74,143.9,-58.5,,,""
19@Laci-zsomboly,-,15.46,131.3,-63.7,,,""
19@Laci-zsomboly,-,5.01,264.9,-76.9,,,""
19@Laci-zsomboly,-,6.18,3.9,-76.2,,,""
19@Laci-zsomboly,-,9.90,40.5,-46.3,,,""
19@Laci-zsomboly,-,0.29,44.6,-43.2,,,""
19@Laci-zsomboly,-,1.26,56.8,83.7,,,""
19@Laci-zsomboly,20@Laci-zsomboly,14.05,100.7,-66.1,1,,"nagyterem jobb fal kitüremkedés"
20@Laci-zsomboly,-,4.43,201.0,2.2,,,""
20@Laci-zsomboly,-,5.10,209.1,3.5,,,""
20@Laci-zsomboly,-,6.05,211.5,5.4,,,""
20@Laci-zsomboly,-,6.88,222.1,9.8,,,""
20@Laci-zsomboly,-,7.90,230.9,12.3,,,""
20@Laci-zsomboly,-,8.69,244.1,13.3,,,""
20@Laci-zsomboly,-,8.04,252.0,13.6,,,""
20@Laci-zsomboly,-,1.33,71.0,8.5,,,""
20@Laci-zsomboly,-,1.98,61.5,9.8,,,""
20@Laci-zsomboly,-,2.57,54.0,10.2,,,""
20@Laci-zsomboly,-,3.77,48.7,9.5,,,""
20@Laci-zsomboly,-,5.63,45.9,6.6,,,""
20@Laci-zsomboly,-,7.24,40.7,3.4,,,""
20@Laci-zsomboly,-,8.10,37.5,1.4,,,""
20@Laci-zsomboly,-,11.57,34.5,-1.8,,,""
20@Laci-zsomboly,-,16.23,20.3,-3.9,,,""
20@Laci-zsomboly,-,15.99,25.5,-2.8,,,""
20@Laci-zsomboly,-,9.33,10.5,-2.0,,,""
20@Laci-zsomboly,-,8.65,356.7,0.2,,,""
20@Laci-zsomboly,-,8.33,347.1,2.6,,,""
20@Laci-zsomboly,-,8.67,339.8,4.7,,,""
20@Laci-zsomboly,-,6.78,328.0,6.2,,,""
20@Laci-zsomboly,-,5.02,314.4,8.5,,,""
20@Laci-zsomboly,-,4.01,308.0,7.1,,,""
20@Laci-zsomboly,-,3.46,303.0,6.8,,,""
20@Laci-zsomboly,-,6.52,214.4,0.3,,,""
20@Laci-zsomboly,-,7.12,214.5,-0.4,,,""
20@Laci-zsomboly,-,8.03,219.9,-0.8,,,""
20@Laci-zsomboly,-,7.91,225.3,-1.4,,,""
20@Laci-zsomboly,-,7.41,231.0,-1.6,,,""
20@Laci-zsomboly,-,7.29,237.9,0.6,,,""
20@Laci-zsomboly,-,7.09,247.6,0.8,,,""
20@Laci-zsomboly,-,6.73,260.4,-2.7,,,""
20@Laci-zsomboly,-,6.23,269.5,-5.4,,,""
20@Laci-zsomboly,-,6.27,274.2,-13.4,,,""
20@Laci-zsomboly,-,5.83,286.6,-18.3,,,""
20@Laci-zsomboly,-,5.31,298.8,-19.5,,,""
20@Laci-zsomboly,-,4.97,304.6,-19.4,,,""
20@Laci-zsomboly,-,4.61,306.3,-19.6,,,""
20@Laci-zsomboly,-,4.75,311.3,-16.3,,,""
20@Laci-zsomboly,-,0.46,207.1,-82.8,,,""
20@Laci-zsomboly,-,0.60,126.6,-36.0,,,""
20@Laci-zsomboly,-,0.74,293.5,-66.5,,,""
20@Laci-zsomboly,-,0.48,309.8,-40.5,,,""
20@Laci-zsomboly,-,4.10,308.8,-30.3,,,""
20@Laci-zsomboly,-,3.26,297.4,7.2,,,""
20@Laci-zsomboly,-,4.18,299.3,43.9,,,""
20@Laci-zsomboly,-,5.33,302.1,54.0,,,""
20@Laci-zsomboly,-,10.20,236.9,55.6,,,""
20@Laci-zsomboly,-,17.86,249.2,54.0,,,""
20@Laci-zsomboly,-,7.56,249.5,21.6,,,""
20@Laci-zsomboly,-,7.53,249.9,32.3,,,""
20@Laci-zsomboly,-,12.82,252.9,41.5,,,""
20@Laci-zsomboly,-,19.00,255.9,47.7,,,""
20@Laci-zsomboly,-,21.83,259.7,53.7,,,""
20@Laci-zsomboly,-,25.08,262.7,58.8,,,""
20@Laci-zsomboly,-,23.43,268.9,60.9,,,""
20@Laci-zsomboly,-,14.04,272.2,62.8,,,""
20@Laci-zsomboly,-,14.09,280.5,64.5,,,""
20@Laci-zsomboly,-,22.37,282.1,65.0,,,""
20@Laci-zsomboly,-,15.74,291.9,65.4,,,""
20@Laci-zsomboly,-,14.04,308.2,65.1,,,""
20@Laci-zsomboly,-,13.60,324.4,65.8,,,""
20@Laci-zsomboly,-,14.05,341.4,61.5,,,""
20@Laci-zsomboly,-,11.78,352.1,56.8,,,""
20@Laci-zsomboly,-,11.35,5.6,40.8,,,""
20@Laci-zsomboly,-,10.60,9.2,35.8,,,""
20@Laci-zsomboly,-,10.49,14.1,21.0,,,""
20@Laci-zsomboly,-,13.08,21.5,11.0,,,""
20@Laci-zsomboly,21@Laci-zsomboly,8.11,346.6,0.7,1,,"hasadék bejárat jobb fal"
21@Laci-zsomboly,-,1.86,227.2,43.0,,,""
21@Laci-zsomboly,-,2.32,243.5,47.5,,,""
21@Laci-zsomboly,-,2.63,258.9,46.2,,,""
21@Laci-zsomboly,-,3.22,270.0,45.0,,,""
21@Laci-zsomboly,-,4.07,276.5,41.4,,,""
21@Laci-zsomboly,-,3.72,299.0,51.2,,,""
21@Laci-zsomboly,-,2.05,308.7,49.8,,,""
21@Laci-zsomboly,-,1.48,294.9,39.8,,,""
21@Laci-zsomboly,-,1.58,343.1,58.1,,,""
21@Laci-zsomboly,-,4.46,278.8,35.7,,,""
21@Laci-zsomboly,-,2.16,262.9,23.5,,,""
21@Laci-zsomboly,-,1.74,261.6,11.4,,,""
21@Laci-zsomboly,22@Laci-zsomboly,4.47,278.8,35.7,-1,,"hasadék végén bubor"
22@Laci-zsomboly,-,0.91,90.1,21.6,,,""
22@Laci-zsomboly,-,0.98,82.2,59.5,,,""
22@Laci-zsomboly,-,1.62,236.5,83.6,,,""
22@Laci-zsomboly,-,1.28,285.5,40.5,,,""
22@Laci-zsomboly,-,0.82,3.2,49.7,,,""
22@Laci-zsomboly,-,0.89,48.0,26.1,,,""
22@Laci-zsomboly,-,0.95,74.9,32.6,,,""
22@Laci-zsomboly,-,1.43,274.9,47.4,,,""
22@Laci-zsomboly,23@Laci-zsomboly,1.37,275.4,46.4,-1,,"hasadék vége fel vp"
22@Laci-zsomboly,24@Laci-zsomboly,4.09,202.3,-76.1,-1,,"hasadék vége lent vp"
21@Laci-zsomboly,25@Laci-zsomboly,9.89,72.5,-18.4,1,,"felmászás jobb oldal"
25@Laci-zsomboly,26@Laci-zsomboly,7.44,266.5,16.1,1,,"keskeny hasadék vp"
25@Laci-zsomboly,-,6.32,262.2,14.4,,,""
25@Laci-zsomboly,-,7.24,265.2,15.9,,,""
25@Laci-zsomboly,-,5.83,267.7,15.5,,,""
25@Laci-zsomboly,-,6.08,263.8,8.9,,,""
25@Laci-zsomboly,-,6.73,261.5,9.2,,,""
25@Laci-zsomboly,-,5.87,256.4,6.6,,,""
25@Laci-zsomboly,-,5.08,297.1,-2.2,,,""
25@Laci-zsomboly,-,1.04,8.1,-28.4,,,""
25@Laci-zsomboly,-,3.71,353.9,-23.9,,,""
25@Laci-zsomboly,27@Laci-zsomboly,6.49,304.3,-24.9,1,,"elágazás bal sarok"
27@Laci-zsomboly,-,4.39,98.4,6.6,,,""
27@Laci-zsomboly,-,5.63,65.8,8.9,,,""
27@Laci-zsomboly,-,5.64,47.2,10.1,,,""
27@Laci-zsomboly,-,7.24,50.6,0.4,,,""
27@Laci-zsomboly,-,6.85,30.2,-2.8,,,""
27@Laci-zsomboly,-,9.76,34.4,-6.1,,,""
27@Laci-zsomboly,-,6.30,21.2,-3.5,,,""
27@Laci-zsomboly,-,5.68,10.1,-0.7,,,""
27@Laci-zsomboly,-,2.96,0.0,0.9,,,""
27@Laci-zsomboly,-,3.60,315.3,-2.0,,,""
